ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000016.SH,20260529,2921.0812,2919.64,2938.4908,2910.5738,2914.1896,6.8916,0.2365,68498404.0,223013813.827
000016.SH,20260528,2914.1896,2923.2062,2928.1759,2893.5661,2934.7122,-20.5226,-0.6993,51956901.0,183934944.827
000016.SH,20260527,2934.7122,2969.7963,2975.9676,2921.8186,2973.3853,-38.6731,-1.3006,56055809.0,202669526.268
000016.SH,20260526,2973.3853,2954.4905,2976.9487,2945.5472,2968.697,4.6883,0.1579,55109956.0,216747758.49
000016.SH,20260525,2968.697,2932.2402,2969.7585,2929.3843,2923.5248,45.1722,1.5451,48439446.0,220945020.732
000016.SH,20260522,2923.5248,2937.1177,2939.5964,2908.0855,2920.9288,2.596,0.0889,52383259.0,174676043.597
000016.SH,20260521,2920.9288,2972.5301,2998.9037,2920.4091,2953.7472,-32.8184,-1.1111,63684730.0,237309932.268
000016.SH,20260520,2953.7472,2940.2616,2964.777,2937.5693,2954.0622,-0.315,-0.0107,57517820.0,205321201.741
000016.SH,20260519,2954.0622,2929.0664,2955.0661,2918.9728,2934.9592,19.103,0.6509,58276856.0,178510282.059
000016.SH,20260518,2934.9592,2947.2502,2954.6326,2921.1756,2957.6024,-22.6432,-0.7656,59652492.0,180548941.083
000016.SH,20260515,2957.6024,2992.2605,3001.6271,2945.6528,2996.573,-38.9706,-1.3005,63890671.0,231212579.191
000016.SH,20260514,2996.573,3056.8463,3059.7858,2995.819,3047.2456,-50.6726,-1.6629,63245575.0,215190927.195
000016.SH,20260513,3047.2456,3029.1158,3049.1727,3018.8501,3043.5559,3.6897,0.1212,64397463.0,213302448.275
000016.SH,20260512,3043.5559,3045.2207,3058.3827,3036.167,3041.6333,1.9226,0.0632,66094509.0,230201303.269
000016.SH,20260511,3041.6333,3021.7449,3047.9,3009.5445,3003.5839,38.0494,1.2668,69411115.0,242027279.546
000016.SH,20260508,3003.5839,3014.466,3015.4074,2990.0137,3029.1939,-25.61,-0.8454,50496714.0,181204517.29
000016.SH,20260507,3029.1939,3034.9771,3040.4025,3020.9004,3026.4434,2.7505,0.0909,58400076.0,205911875.66
000016.SH,20260506,3026.4434,3010.3178,3037.2642,3001.9757,2985.5048,40.9386,1.3712,67902951.0,260825664.652
000016.SH,20260430,2985.5048,2972.0472,2989.0518,2971.2874,2967.5034,18.0014,0.6066,62185756.0,215537994.304
000016.SH,20260429,2967.5034,2937.8141,2968.9643,2937.2916,2950.4212,17.0822,0.579,61159880.0,177885651.228
000016.SH,20260428,2950.4212,2938.0584,2963.3596,2937.5487,2939.0529,11.3683,0.3868,49049059.0,156947846.888
000016.SH,20260427,2939.0529,2944.0308,2955.4488,2934.6729,2945.0425,-5.9896,-0.2034,43975110.0,159040616.221
000016.SH,20260424,2945.0425,2925.9009,2948.4095,2914.2567,2927.9307,17.1118,0.5844,42443653.0,154614309.702
000016.SH,20260423,2927.9307,2938.1651,2941.1962,2912.564,2930.5752,-2.6445,-0.0902,53650898.0,155716228.751
000016.SH,20260422,2930.5752,2927.8637,2935.1118,2922.326,2932.0721,-1.4969,-0.0511,45443426.0,126382955.99
000016.SH,20260421,2932.0721,2931.6113,2937.4195,2920.2845,2933.6534,-1.5813,-0.0539,46327358.0,119509381.952
000016.SH,20260420,2933.6534,2911.8618,2935.2919,2911.7446,2910.8732,22.7802,0.7826,47728324.0,132077315.884
000016.SH,20260417,2910.8732,2920.8547,2924.134,2906.9515,2939.7645,-28.8913,-0.9828,41874842.0,134787638.837
000016.SH,20260416,2939.7645,2937.7583,2948.1195,2930.7714,2934.2159,5.5486,0.1891,41117930.0,115488675.423
000016.SH,20260415,2934.2159,2939.5201,2953.0671,2931.6349,2924.1834,10.0325,0.3431,47270766.0,145529726.844
000016.SH,20260414,2924.1834,2918.505,2924.2184,2899.8566,2899.4701,24.7133,0.8523,41834366.0,128295549.999
000016.SH,20260413,2899.4701,2888.4244,2902.7061,2884.6579,2899.5795,-0.1094,-0.0038,40492045.0,121740386.153
000016.SH,20260410,2899.5795,2900.4958,2915.7001,2894.6772,2884.76,14.8195,0.5137,42529531.0,122820282.454
000016.SH,20260409,2884.76,2888.4044,2891.8718,2877.552,2907.0658,-22.3058,-0.7673,38673621.0,108590894.229
000016.SH,20260408,2907.0658,2872.0345,2907.7909,2872.0345,2830.5227,76.5431,2.7042,58736612.0,154937979.532
000016.SH,20260407,2830.5227,2830.1267,2843.1652,2824.18,2830.5967,-0.074,-0.0026,36809593.0,99010485.33
000016.SH,20260403,2830.5967,2856.5571,2857.5116,2827.0896,2853.4529,-22.8562,-0.801,36331378.0,79325741.157
000016.SH,20260402,2853.4529,2873.8255,2873.8255,2840.6396,2878.7943,-25.3414,-0.8803,46918994.0,102925556.692
000016.SH,20260401,2878.7943,2863.4932,2882.6714,2856.9677,2826.1249,52.6694,1.8637,50695580.0,127531215.94
000016.SH,20260331,2826.1249,2844.405,2865.5184,2826.1249,2833.2054,-7.0805,-0.2499,57096016.0,121234704.383
000016.SH,20260330,2833.2054,2814.8276,2835.8336,2806.0271,2837.3064,-4.101,-0.1445,49112625.0,103315096.152
000016.SH,20260327,2837.3064,2803.4975,2845.8344,2803.4975,2824.6744,12.632,0.4472,46525441.0,103294765.815
000016.SH,20260326,2824.6744,2854.5042,2862.3274,2819.0672,2859.5345,-34.8601,-1.2191,52322127.0,113550786.856
000016.SH,20260325,2859.5345,2845.4092,2862.573,2842.1889,2830.854,28.6805,1.0131,63965550.0,133500631.806
000016.SH,20260324,2830.854,2813.4977,2831.2721,2790.8032,2792.3288,38.5252,1.3797,63312736.0,135732067.71
000016.SH,20260323,2792.3288,2847.5219,2847.7762,2779.599,2883.8644,-91.5356,-3.1741,86976633.0,173992569.534
000016.SH,20260320,2883.8644,2914.851,2924.3763,2881.9471,2916.2348,-32.3704,-1.11,66097073.0,135730910.402
000016.SH,20260319,2916.2348,2933.5774,2942.4588,2908.4428,2961.4264,-45.1916,-1.526,67079441.0,136419483.407
000016.SH,20260318,2961.4264,2965.8607,2970.1876,2939.7483,2963.5779,-2.1515,-0.0726,54413790.0,113721675.957
000016.SH,20260317,2963.5779,2957.0148,2995.2259,2956.1591,2954.0885,9.4894,0.3212,62604978.0,132384455.987
000016.SH,20260316,2954.0885,2952.4201,2955.0036,2927.9359,2956.8468,-2.7583,-0.0933,59596018.0,143861980.866
000016.SH,20260313,2956.8468,2961.7335,2977.8417,2951.7012,2971.5612,-14.7144,-0.4952,68633013.0,134239212.515
000016.SH,20260312,2971.5612,2978.1151,2985.5464,2954.3045,2985.3449,-13.7837,-0.4617,55644111.0,125464705.716
