ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,index_ret_1d,index_ret_5d,index_ret_20d,index_vol_20d,market_ret_5d,market_ret_20d,market_vol_20d
000016.SH,20230103,2641.4218,2628.6723,2645.9915,2603.7234,2635.2484,6.1734,0.2343,30230100.0,54746966.089,,,,,,,
000016.SH,20230104,2651.005,2644.291,2659.5351,2637.716,2641.4218,9.5832,0.3628,28065521.0,51793840.04,0.0036280460773057133,,,,,,
000016.SH,20230105,2700.3082,2670.4576,2705.7388,2668.1451,2651.005,49.3032,1.8598,27714894.0,65754233.548,0.018597927955624316,,,,,,
000016.SH,20230106,2713.6307,2704.2375,2721.9279,2698.9087,2700.3082,13.3225,0.4934,28367259.0,61190293.595,0.00493369608698746,,,,,,
000016.SH,20230109,2742.2014,2730.9952,2747.6106,2722.1459,2713.6307,28.5707,1.0529,29682897.0,61358496.788,0.010528588138393191,,,,,,
000016.SH,20230110,2733.6188,2742.6969,2748.637,2731.8243,2742.2014,-8.5826,-0.313,24212915.0,55251392.672,-0.003129821172142888,0.034904307975348825,,,0.034904307975348825,,
000016.SH,20230111,2740.1927,2739.9372,2760.0972,2733.4293,2733.6188,6.5739,0.2405,24748045.0,54746699.631,0.0024048342073150764,0.03364297690875717,,,0.03364297690875717,,
000016.SH,20230112,2741.9454,2749.6944,2752.1164,2732.8253,2740.1927,1.7527,0.064,22257903.0,47888079.187,0.0006396265488919362,0.015419425086366179,,,0.015419425086366179,,
000016.SH,20230113,2787.3561,2751.5819,2787.3561,2747.3642,2741.9454,45.4107,1.6561,24652015.0,56444142.488,0.016561489517624928,0.027168545815758893,,,0.027168545815758893,,
000016.SH,20230116,2834.2913,2789.8713,2864.8788,2787.9527,2787.3561,46.9352,1.6839,39276584.0,93451912.969,0.016838609175196417,0.033582471367711975,,,0.033582471367711975,,
000016.SH,20230117,2827.0272,2833.7402,2837.5922,2813.7194,2834.2913,-7.2641,-0.2563,24969526.0,58394050.935,-0.0025629334571219964,0.03417023617191983,,0.008207126961059831,0.03417023617191983,,0.008207126961059831
000016.SH,20230118,2810.086,2829.7861,2838.8313,2807.5464,2827.0272,-16.9412,-0.5993,20562468.0,46976558.79,-0.005992584719383021,0.02550670980183245,,0.008694887240909308,0.02550670980183245,,0.008694887240909308
000016.SH,20230119,2820.8067,2807.5616,2823.1142,2786.0806,2810.086,10.7207,0.3815,23936652.0,56070795.481,0.0038150789691135945,0.02876107598641453,,0.008307656073906723,0.02876107598641453,,0.008307656073906723
