ts_code,trade_date,company_name,name,industry_id,industry_name,ret_20d,rs_market_20d,momentum_rank_in_industry,liquidity_rank_in_industry,pe_ttm,pb,total_mv,peer_score
600028.SH,20230103,中国石化,中国石化,IND_石油加工,石油加工,,,,,7.7607,0.6769,52754419.3642,0.4941493442217273
600028.SH,20230104,中国石化,中国石化,IND_石油加工,石油加工,,,,,7.7784,0.6784,52874315.7719,0.4941493442217273
600028.SH,20230105,中国石化,中国石化,IND_石油加工,石油加工,,,,,7.7431,0.6753,52634522.9566,0.4941493442217273
600028.SH,20230106,中国石化,中国石化,IND_石油加工,石油加工,,,,,7.7255,0.6738,52514626.5489,0.4941493442217273
600028.SH,20230109,中国石化,中国石化,IND_石油加工,石油加工,,,,,7.7255,0.6738,52514626.5489,0.4941493442217273
600028.SH,20230110,中国石化,中国石化,IND_石油加工,石油加工,,,,,7.7078,0.6723,52394730.1413,0.4941493442217273
600028.SH,20230111,中国石化,中国石化,IND_石油加工,石油加工,,,,,7.7784,0.6784,52874315.7719,0.4941493442217273
600028.SH,20230112,中国石化,中国石化,IND_石油加工,石油加工,,,,,7.8313,0.683,53234004.9948,0.4941493442217273
600028.SH,20230113,中国石化,中国石化,IND_石油加工,石油加工,,,,,7.8489,0.6846,53353901.4025,0.4941493442217273
600028.SH,20230116,中国石化,中国石化,IND_石油加工,石油加工,,,,1.0,7.8842,0.6876,53593694.2178,0.5941493442217274
600028.SH,20230117,中国石化,中国石化,IND_石油加工,石油加工,,,,1.0,7.8489,0.6846,53353901.4025,0.5941493442217274
600028.SH,20230118,中国石化,中国石化,IND_石油加工,石油加工,,,,1.0,7.8842,0.6876,53593694.2178,0.5941493442217274
600028.SH,20230119,中国石化,中国石化,IND_石油加工,石油加工,,,,1.0,7.9195,0.6907,53833487.0331,0.5941493442217274
600028.SH,20230120,中国石化,中国石化,IND_石油加工,石油加工,,,,1.0,8.0077,0.6984,54432969.0713,0.5941493442217274
600028.SH,20230130,中国石化,中国石化,IND_石油加工,石油加工,,,,1.0,7.9724,0.6953,54193176.256,0.5941493442217274
600028.SH,20230131,中国石化,中国石化,IND_石油加工,石油加工,,,,1.0,7.9724,0.6953,54193176.256,0.5941493442217274
600028.SH,20230201,中国石化,中国石化,IND_石油加工,石油加工,,,,1.0,7.9724,0.6953,54193176.256,0.5941493442217274
600028.SH,20230202,中国石化,中国石化,IND_石油加工,石油加工,,,,1.0,7.9724,0.6953,54193176.256,0.5941493442217274
600028.SH,20230203,中国石化,中国石化,IND_石油加工,石油加工,,,,1.0,7.8842,0.6876,53593694.2178,0.5941493442217274
600028.SH,20230206,中国石化,中国石化,IND_石油加工,石油加工,,,,1.0,7.9195,0.6907,53833487.0331,0.5941493442217274
600028.SH,20230207,中国石化,中国石化,IND_石油加工,石油加工,0.022727272727272485,-0.014761173835862396,1.0,1.0,7.9371,0.6923,53953383.4407,0.7844308339519921
600028.SH,20230208,中国石化,中国石化,IND_石油加工,石油加工,0.022675736961450976,-0.0075945190358028825,1.0,1.0,7.9548,0.6938,54073279.8483,0.79909428359317
600028.SH,20230209,中国石化,中国石化,IND_石油加工,石油加工,0.027334851936218874,0.004536046970178287,1.0,1.0,7.9548,0.6938,54073279.8483,0.8323880227666419
600028.SH,20230210,中国石化,中国石化,IND_石油加工,石油加工,0.027397260273972712,0.015202380550655814,1.0,1.0,7.9371,0.6923,53953383.4407,0.8543009156149468
600028.SH,20230213,中国石化,中国石化,IND_石油加工,石油加工,0.0251141552511418,0.015781543868184977,1.0,1.0,7.9195,0.6907,53833487.0331,0.8556347438752784
600028.SH,20230214,中国石化,中国石化,IND_石油加工,石油加工,0.03203661327231111,0.016173611452159786,1.0,1.0,7.9548,0.6938,54073279.8483,0.8564142538975501
600028.SH,20230215,中国石化,中国石化,IND_石油加工,石油加工,0.022675736961450976,0.018243274967081113,1.0,1.0,7.9548,0.6938,54073279.8483,0.8603897550111359
600028.SH,20230216,中国石化,中国石化,IND_石油加工,石油加工,0.015765765765765716,0.015452557486709484,1.0,1.0,7.9548,0.6938,54073279.8483,0.8549245236327642
600028.SH,20230217,中国石化,中国石化,IND_石油加工,石油加工,0.015730337078651457,0.04194406699999165,1.0,1.0,7.9724,0.6953,54193176.256,0.9010195496164316
600028.SH,20230220,中国石化,中国石化,IND_石油加工,石油加工,0.033557046979865834,0.04974998381737439,1.0,1.0,8.1488,0.7107,55392140.3325,0.9123397673843108
600028.SH,20230221,中国石化,中国石化,IND_石油加工,石油加工,0.053932584269663186,0.06273741642692021,1.0,1.0,8.2722,0.7215,56231415.186,0.928484286067805
600028.SH,20230222,中国石化,中国石化,IND_石油加工,石油加工,0.04026845637583887,0.05476694503419299,1.0,1.0,8.2017,0.7153,55751829.5554,0.9187317495669389
600028.SH,20230223,中国石化,中国石化,IND_石油加工,石油加工,0.03563474387527843,0.054519944339386894,1.0,1.0,8.2017,0.7153,55751829.5554,0.9183766394456818
600028.SH,20230224,中国石化,中国石化,IND_石油加工,石油加工,0.019823788546255328,0.0583236935450796,1.0,1.0,8.1664,0.7123,55512036.7401,0.9232875525859936
600028.SH,20230227,中国石化,中国石化,IND_石油加工,石油加工,0.01991150442477907,0.06060652079885753,1.0,1.0,8.1311,0.7092,55272243.9248,0.9261370947785201
600028.SH,20230228,中国石化,中国石化,IND_石油加工,石油加工,0.030973451327433787,0.056186561281347136,1.0,1.0,8.2193,0.7169,55871725.963,0.9204899777282851
600028.SH,20230301,中国石化,中国石化,IND_石油加工,石油加工,0.050884955752212635,0.06762614896104147,1.0,1.0,8.3781,0.7307,56950793.6319,0.933914872556298
600028.SH,20230302,中国石化,中国石化,IND_石油加工,石油加工,0.07300884955752229,0.08820850410484682,1.0,1.0,8.5545,0.7461,58149757.7083,0.9522506805246226
600028.SH,20230303,中国石化,中国石化,IND_石油加工,石油加工,0.12304250559284102,0.12314809875449817,1.0,1.0,8.8543,0.7723,60187996.6383,0.9716258351893096
600028.SH,20230306,中国石化,中国石化,IND_石油加工,石油加工,0.1358574610244987,0.1325170277637855,1.0,1.0,8.9954,0.7846,61147167.8995,0.9745273447166543
600028.SH,20230307,中国石化,中国石化,IND_石油加工,石油加工,0.16888888888888887,0.17884220084418256,1.0,1.0,9.2776,0.8092,63065510.4218,0.9843924771096264
600028.SH,20230308,中国石化,中国石化,IND_石油加工,石油加工,0.17738359201773823,0.19177951951119954,1.0,1.0,9.3658,0.8169,63664992.46,0.9858562237070032
600028.SH,20230309,中国石化,中国石化,IND_石油加工,石油加工,0.17738359201773823,0.20998054075395756,1.0,1.0,9.3658,0.8169,63664992.46,0.9878049987626825
600028.SH,20230310,中国石化,中国石化,IND_石油加工,石油加工,0.1577777777777778,0.19794709808531086,1.0,1.0,9.1894,0.8015,62466028.3836,0.9865924276169264
600028.SH,20230313,中国石化,中国石化,IND_石油加工,石油加工,0.23162583518930946,0.2691125579153164,1.0,1.0,9.7538,0.8507,66302713.4282,0.9919623855481317
600028.SH,20230314,中国石化,中国石化,IND_石油加工,石油加工,0.22394678492239461,0.27143282930539414,1.0,1.0,9.7362,0.8492,66182817.0206,0.9920749814402376
600028.SH,20230315,中国石化,中国石化,IND_石油加工,石油加工,0.22616407982261655,0.2639331623682408,1.0,1.0,9.7538,0.8507,66302713.4282,0.9915899529819352
600028.SH,20230316,中国石化,中国石化,IND_石油加工,石油加工,0.20842572062084264,0.2521696378862458,1.0,1.0,9.6127,0.8384,65343542.1671,0.9910096510764662
600028.SH,20230317,中国石化,中国石化,IND_石油加工,石油加工,0.2566371681415931,0.2882100761269657,1.0,1.0,10.0184,0.8738,68101159.5429,0.9930450383568423
600028.SH,20230320,中国石化,中国石化,IND_石油加工,石油加工,0.22510822510822504,0.2866652321873491,1.0,1.0,9.9831,0.8707,67861366.7276,0.9929324424647364
600028.SH,20230321,中国石化,中国石化,IND_石油加工,石油加工,0.18763326226012778,0.24429625684672107,1.0,1.0,9.8244,0.8569,66782299.0588,0.9905592675080426
