ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600028.SH,20260529,4.8,4.86,4.78,4.85,4.81,0.04,0.8316,3306657.9,1593478.787
600028.SH,20260528,4.78,4.9,4.78,4.81,4.83,-0.02,-0.4141,2810687.38,1361956.896
600028.SH,20260527,4.86,4.86,4.73,4.83,4.87,-0.04,-0.8214,3725642.89,1780949.983
600028.SH,20260526,4.92,4.94,4.85,4.87,4.92,-0.05,-1.0163,3243078.26,1582221.948
600028.SH,20260525,4.96,4.99,4.92,4.92,4.96,-0.04,-0.8065,2009775.87,994113.415
600028.SH,20260522,5.02,5.04,4.95,4.96,5.03,-0.07,-1.3917,2612369.96,1300935.98
600028.SH,20260521,5.08,5.1,5.02,5.03,5.1,-0.07,-1.3725,2526286.84,1278631.396
600028.SH,20260520,5.13,5.15,5.09,5.1,5.13,-0.03,-0.5848,1795444.57,918779.045
600028.SH,20260519,5.12,5.15,5.1,5.13,5.14,-0.01,-0.1946,1698525.26,870153.048
600028.SH,20260518,5.13,5.15,5.09,5.14,5.13,0.01,0.1949,1940929.29,993664.068
600028.SH,20260515,5.13,5.17,5.09,5.13,5.15,-0.02,-0.3883,2813431.21,1444229.816
600028.SH,20260514,5.18,5.2,5.12,5.15,5.17,-0.02,-0.3868,3340499.92,1722188.51
600028.SH,20260513,5.2,5.21,5.16,5.17,5.2,-0.03,-0.5769,2381021.42,1233490.965
600028.SH,20260512,5.22,5.23,5.18,5.2,5.21,-0.01,-0.1919,2695960.62,1403417.905
600028.SH,20260511,5.23,5.23,5.18,5.21,5.22,-0.01,-0.1916,3320028.49,1729980.813
600028.SH,20260508,5.29,5.3,5.21,5.22,5.27,-0.05,-0.9488,3440560.5,1805968.528
600028.SH,20260507,5.34,5.35,5.27,5.27,5.37,-0.1,-1.8622,3556190.36,1884326.538
600028.SH,20260506,5.38,5.39,5.32,5.37,5.39,-0.02,-0.3711,3381193.74,1806979.555
600028.SH,20260430,5.4,5.43,5.37,5.39,5.42,-0.03,-0.5535,3246548.78,1750703.931
600028.SH,20260429,5.4,5.5,5.35,5.42,5.35,0.07,1.3084,7735191.74,4187047.047
600028.SH,20260428,5.34,5.38,5.27,5.35,5.34,0.01,0.1873,3426197.35,1826108.634
600028.SH,20260427,5.38,5.41,5.33,5.34,5.39,-0.05,-0.9276,2104440.73,1129699.801
600028.SH,20260424,5.43,5.44,5.35,5.39,5.45,-0.06,-1.1009,2351043.06,1267317.019
600028.SH,20260423,5.44,5.49,5.4,5.45,5.44,0.01,0.1838,3524466.41,1919144.615
600028.SH,20260422,5.51,5.51,5.42,5.44,5.5,-0.06,-1.0909,2416561.08,1317142.971
600028.SH,20260421,5.53,5.54,5.49,5.5,5.53,-0.03,-0.5425,1924090.12,1060811.067
600028.SH,20260420,5.57,5.59,5.53,5.53,5.56,-0.03,-0.5396,2352067.31,1305754.961
600028.SH,20260417,5.67,5.67,5.56,5.56,5.66,-0.1,-1.7668,2154575.73,1204250.432
600028.SH,20260416,5.67,5.68,5.64,5.66,5.69,-0.03,-0.5272,1496253.83,846356.779
600028.SH,20260415,5.76,5.77,5.68,5.69,5.78,-0.09,-1.5571,1878195.22,1071874.549
600028.SH,20260414,5.8,5.81,5.76,5.78,5.83,-0.05,-0.8576,1350357.0,780008.954
600028.SH,20260413,5.85,5.86,5.77,5.83,5.81,0.02,0.3442,1741049.92,1011368.271
600028.SH,20260410,5.83,5.84,5.81,5.81,5.84,-0.03,-0.5137,1297269.22,755147.039
600028.SH,20260409,5.89,5.94,5.82,5.84,5.89,-0.05,-0.8489,1679238.09,983839.208
600028.SH,20260408,5.8,5.9,5.76,5.89,5.91,-0.02,-0.3384,2263628.72,1323510.332
600028.SH,20260407,5.85,5.92,5.79,5.91,5.86,0.05,0.8532,1583033.66,929845.253
600028.SH,20260403,5.95,5.95,5.83,5.86,5.95,-0.09,-1.5126,1584404.74,929770.687
600028.SH,20260402,5.88,5.96,5.87,5.95,5.89,0.06,1.0187,2051261.15,1215345.102
600028.SH,20260401,5.88,5.93,5.85,5.89,5.88,0.01,0.1701,1687393.14,994545.2
600028.SH,20260331,5.96,6.01,5.88,5.88,5.97,-0.09,-1.5075,1735745.6,1029783.43
600028.SH,20260330,5.93,5.99,5.91,5.97,5.9,0.07,1.1864,2073171.33,1234422.277
600028.SH,20260327,5.87,5.91,5.84,5.9,5.88,0.02,0.3401,1928071.51,1132811.45
600028.SH,20260326,5.89,5.94,5.85,5.88,5.92,-0.04,-0.6757,2200197.51,1296597.916
600028.SH,20260325,5.87,5.92,5.79,5.92,5.94,-0.02,-0.3367,2533931.62,1483925.74
600028.SH,20260324,5.94,5.95,5.86,5.94,6.04,-0.1,-1.6556,2569822.36,1516106.49
600028.SH,20260323,6.08,6.11,5.93,6.04,6.08,-0.04,-0.6579,3373413.59,2025777.771
600028.SH,20260320,6.18,6.18,6.05,6.08,6.28,-0.2,-3.1847,2897698.41,1765627.259
600028.SH,20260319,6.21,6.29,6.18,6.28,6.12,0.16,2.6144,4115497.4,2563675.485
600028.SH,20260318,6.22,6.22,6.05,6.12,6.25,-0.13,-2.08,3138344.73,1918878.973
600028.SH,20260317,6.3,6.3,6.21,6.25,6.33,-0.08,-1.2638,3162492.4,1977977.92
600028.SH,20260316,6.35,6.41,6.31,6.33,6.33,0.0,0.0,2864215.1,1818960.233
600028.SH,20260313,6.49,6.51,6.31,6.33,6.46,-0.13,-2.0124,4759633.92,3036060.428
600028.SH,20260312,6.56,6.59,6.43,6.46,6.51,-0.05,-0.768,4909668.43,3197303.367
600028.SH,20260311,6.5,6.54,6.4,6.51,6.56,-0.05,-0.7622,4601432.79,2971860.843
600028.SH,20260310,6.5,6.62,6.47,6.56,7.0,-0.44,-6.2857,6425512.7,4201781.392
600028.SH,20260309,7.45,7.45,6.94,7.0,6.88,0.12,1.7442,10779224.29,7711711.093
