ts_code,symbol,name,area,industry,market,list_date,company_name,industry_name,industry_id,index_code,index_weight_date
600028.SH,600028,中国石化,北京,石油加工,主板,20010808,中国石化,石油加工,IND_石油加工,000016.SH,20251231
600030.SH,600030,中信证券,深圳,证券,主板,20030106,中信证券,证券,IND_证券,000016.SH,20251231
600031.SH,600031,三一重工,北京,工程机械,主板,20030703,三一重工,工程机械,IND_工程机械,000016.SH,20251231
600036.SH,600036,招商银行,深圳,银行,主板,20020409,招商银行,银行,IND_银行,000016.SH,20251231
600050.SH,600050,中国联通,北京,电信运营,主板,20021009,中国联通,电信运营,IND_电信运营,000016.SH,20251231
600104.SH,600104,上汽集团,上海,汽车整车,主板,19971125,上汽集团,汽车整车,IND_汽车整车,000016.SH,20251231
600111.SH,600111,北方稀土,内蒙,小金属,主板,19970924,北方稀土,小金属,IND_小金属,000016.SH,20251231
600150.SH,600150,中国船舶,上海,船舶,主板,19980520,中国船舶,船舶,IND_船舶,000016.SH,20251231
600276.SH,600276,恒瑞医药,江苏,化学制药,主板,20001018,恒瑞医药,化学制药,IND_化学制药,000016.SH,20251231
600309.SH,600309,万华化学,山东,化工原料,主板,20010105,万华化学,化工原料,IND_化工原料,000016.SH,20251231
600406.SH,600406,国电南瑞,江苏,电气设备,主板,20031016,国电南瑞,电气设备,IND_电气设备,000016.SH,20251231
600519.SH,600519,贵州茅台,贵州,白酒,主板,20010827,贵州茅台,白酒,IND_白酒,000016.SH,20251231
600690.SH,600690,海尔智家,山东,家用电器,主板,19931119,海尔智家,家用电器,IND_家用电器,000016.SH,20251231
600760.SH,600760,中航沈飞,山东,航空,主板,19961011,中航沈飞,航空,IND_航空,000016.SH,20251231
600809.SH,600809,山西汾酒,山西,白酒,主板,19940106,山西汾酒,白酒,IND_白酒,000016.SH,20251231
600887.SH,600887,伊利股份,内蒙,乳制品,主板,19960312,伊利股份,乳制品,IND_乳制品,000016.SH,20251231
600900.SH,600900,长江电力,北京,水力发电,主板,20031118,长江电力,水力发电,IND_水力发电,000016.SH,20251231
600930.SH,600930,华电新能,福建,新型电力,主板,20250716,华电新能,新型电力,IND_新型电力,000016.SH,20251231
601012.SH,601012,隆基绿能,陕西,电气设备,主板,20120411,隆基绿能,电气设备,IND_电气设备,000016.SH,20251231
601088.SH,601088,中国神华,北京,煤炭开采,主板,20071009,中国神华,煤炭开采,IND_煤炭开采,000016.SH,20251231
601127.SH,601127,赛力斯,重庆,汽车整车,主板,20160615,赛力斯,汽车整车,IND_汽车整车,000016.SH,20251231
601166.SH,601166,兴业银行,福建,银行,主板,20070205,兴业银行,银行,IND_银行,000016.SH,20251231
601211.SH,601211,国泰海通,上海,证券,主板,20150626,国泰海通,证券,IND_证券,000016.SH,20251231
601225.SH,601225,陕西煤业,陕西,煤炭开采,主板,20140128,陕西煤业,煤炭开采,IND_煤炭开采,000016.SH,20251231
601288.SH,601288,农业银行,北京,银行,主板,20100715,农业银行,银行,IND_银行,000016.SH,20251231
601318.SH,601318,中国平安,深圳,保险,主板,20070301,中国平安,保险,IND_保险,000016.SH,20251231
601328.SH,601328,交通银行,上海,银行,主板,20070515,交通银行,银行,IND_银行,000016.SH,20251231
601398.SH,601398,工商银行,北京,银行,主板,20061027,工商银行,银行,IND_银行,000016.SH,20251231
601601.SH,601601,中国太保,上海,保险,主板,20071225,中国太保,保险,IND_保险,000016.SH,20251231
601628.SH,601628,中国人寿,北京,保险,主板,20070109,中国人寿,保险,IND_保险,000016.SH,20251231
601658.SH,601658,邮储银行,北京,银行,主板,20191210,邮储银行,银行,IND_银行,000016.SH,20251231
601668.SH,601668,中国建筑,北京,建筑工程,主板,20090729,中国建筑,建筑工程,IND_建筑工程,000016.SH,20251231
601728.SH,601728,中国电信,北京,电信运营,主板,20210820,中国电信,电信运营,IND_电信运营,000016.SH,20251231
601816.SH,601816,京沪高铁,北京,铁路,主板,20200116,京沪高铁,铁路,IND_铁路,000016.SH,20251231
601857.SH,601857,中国石油,北京,石油开采,主板,20071105,中国石油,石油开采,IND_石油开采,000016.SH,20251231
601888.SH,601888,中国中免,北京,旅游服务,主板,20091015,中国中免,旅游服务,IND_旅游服务,000016.SH,20251231
601899.SH,601899,紫金矿业,福建,铜,主板,20080425,紫金矿业,铜,IND_铜,000016.SH,20251231
601919.SH,601919,中远海控,天津,水运,主板,20070626,中远海控,水运,IND_水运,000016.SH,20251231
601985.SH,601985,中国核电,北京,新型电力,主板,20150610,中国核电,新型电力,IND_新型电力,000016.SH,20251231
601988.SH,601988,中国银行,北京,银行,主板,20060705,中国银行,银行,IND_银行,000016.SH,20251231
603019.SH,603019,XD中科曙,天津,IT设备,主板,20141106,XD中科曙,IT设备,IND_IT设备,000016.SH,20251231
603259.SH,603259,XD药明康,江苏,化学制药,主板,20180508,XD药明康,化学制药,IND_化学制药,000016.SH,20251231
603501.SH,603501,豪威集团,上海,半导体,主板,20170504,豪威集团,半导体,IND_半导体,000016.SH,20251231
603993.SH,603993,洛阳钼业,河南,小金属,主板,20121009,洛阳钼业,小金属,IND_小金属,000016.SH,20251231
688008.SH,688008,澜起科技,上海,半导体,科创板,20190722,澜起科技,半导体,IND_半导体,000016.SH,20251231
688012.SH,688012,DR中微公,上海,半导体,科创板,20190722,DR中微公,半导体,IND_半导体,000016.SH,20251231
688041.SH,688041,海光信息,天津,半导体,科创板,20220812,海光信息,半导体,IND_半导体,000016.SH,20251231
688111.SH,688111,金山办公,北京,软件服务,科创板,20191118,金山办公,软件服务,IND_软件服务,000016.SH,20251231
688256.SH,688256,寒武纪,北京,半导体,科创板,20200720,寒武纪,半导体,IND_半导体,000016.SH,20251231
688981.SH,688981,中芯国际,上海,半导体,科创板,20200716,中芯国际,半导体,IND_半导体,000016.SH,20251231
