ts_code,trade_date,adj_factor
600900.SH,20260529,3.7914
600900.SH,20260528,3.7914
600900.SH,20260527,3.7914
600900.SH,20260526,3.7914
600900.SH,20260525,3.7914
600900.SH,20260522,3.7914
600900.SH,20260521,3.7914
600900.SH,20260520,3.7914
600900.SH,20260519,3.7914
600900.SH,20260518,3.7914
600900.SH,20260515,3.7914
600900.SH,20260514,3.7914
600900.SH,20260513,3.7914
600900.SH,20260512,3.7914
600900.SH,20260511,3.7914
600900.SH,20260508,3.7914
600900.SH,20260507,3.7914
600900.SH,20260506,3.7914
600900.SH,20260430,3.7914
600900.SH,20260429,3.7914
600900.SH,20260428,3.7914
600900.SH,20260427,3.7914
600900.SH,20260424,3.7914
600900.SH,20260423,3.7914
600900.SH,20260422,3.7914
600900.SH,20260421,3.7914
600900.SH,20260420,3.7914
600900.SH,20260417,3.7914
600900.SH,20260416,3.7914
600900.SH,20260415,3.7914
600900.SH,20260414,3.7914
600900.SH,20260413,3.7914
600900.SH,20260410,3.7914
600900.SH,20260409,3.7914
600900.SH,20260408,3.7914
600900.SH,20260407,3.7914
600900.SH,20260403,3.7914
600900.SH,20260402,3.7914
600900.SH,20260401,3.7914
600900.SH,20260331,3.7914
600900.SH,20260330,3.7914
600900.SH,20260327,3.7914
600900.SH,20260326,3.7914
600900.SH,20260325,3.7914
600900.SH,20260324,3.7914
600900.SH,20260323,3.7914
600900.SH,20260320,3.7914
600900.SH,20260319,3.7914
600900.SH,20260318,3.7914
600900.SH,20260317,3.7914
600900.SH,20260316,3.7914
600900.SH,20260313,3.7914
600900.SH,20260312,3.7914
600900.SH,20260311,3.7914
600900.SH,20260310,3.7914
600900.SH,20260309,3.7914
600900.SH,20260306,3.7914
600900.SH,20260305,3.7914
600900.SH,20260304,3.7914
600900.SH,20260303,3.7914
600900.SH,20260302,3.7914
600900.SH,20260227,3.7914
600900.SH,20260226,3.7914
600900.SH,20260225,3.7914
600900.SH,20260224,3.7914
600900.SH,20260213,3.7914
600900.SH,20260212,3.7914
600900.SH,20260211,3.7613
600900.SH,20260210,3.7613
600900.SH,20260209,3.7613
600900.SH,20260206,3.7613
600900.SH,20260205,3.7613
600900.SH,20260204,3.7613
600900.SH,20260203,3.7613
600900.SH,20260202,3.7613
600900.SH,20260130,3.7613
600900.SH,20260129,3.7613
600900.SH,20260128,3.7613
600900.SH,20260127,3.7613
600900.SH,20260126,3.7613
600900.SH,20260123,3.7613
600900.SH,20260122,3.7613
600900.SH,20260121,3.7613
600900.SH,20260120,3.7613
600900.SH,20260119,3.7613
600900.SH,20260116,3.7613
600900.SH,20260115,3.7613
600900.SH,20260114,3.7613
600900.SH,20260113,3.7613
600900.SH,20260112,3.7613
600900.SH,20260109,3.7613
600900.SH,20260108,3.7613
600900.SH,20260107,3.7613
600900.SH,20260106,3.7613
600900.SH,20260105,3.7613
600900.SH,20251231,3.7613
600900.SH,20251230,3.7613
600900.SH,20251229,3.7613
