ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601985.SH,20260529,8.82,9.11,8.79,9.04,8.84,0.2,2.2624,2011354.77,1808495.29
601985.SH,20260528,8.71,8.91,8.69,8.84,8.72,0.12,1.3761,1297910.82,1144817.28
601985.SH,20260527,8.76,8.82,8.68,8.72,8.75,-0.03,-0.3429,1063358.62,928661.848
601985.SH,20260526,8.72,8.78,8.69,8.75,8.75,0.0,0.0,785124.0,686120.769
601985.SH,20260525,8.71,8.82,8.68,8.75,8.71,0.04,0.4592,1153546.77,1007554.025
601985.SH,20260522,8.75,8.77,8.66,8.71,8.74,-0.03,-0.3432,1168581.44,1017949.977
601985.SH,20260521,8.96,9.05,8.73,8.74,9.01,-0.27,-2.9967,1822460.45,1616860.719
601985.SH,20260520,9.22,9.23,9.0,9.01,9.22,-0.21,-2.2777,1512707.49,1377146.541
601985.SH,20260519,9.04,9.25,9.03,9.22,9.05,0.17,1.8785,1366432.06,1255036.77
601985.SH,20260518,9.14,9.18,8.99,9.05,9.14,-0.09,-0.9847,1042142.86,942624.849
601985.SH,20260515,9.03,9.22,8.98,9.14,9.04,0.1,1.1062,1361360.04,1240029.451
601985.SH,20260514,9.24,9.3,9.04,9.04,9.24,-0.2,-2.1645,1385666.7,1270678.023
601985.SH,20260513,9.24,9.32,9.19,9.24,9.23,0.01,0.1083,1557009.1,1441225.04
601985.SH,20260512,9.19,9.28,9.15,9.23,9.19,0.04,0.4353,1389390.59,1283889.719
601985.SH,20260511,9.07,9.27,9.03,9.19,9.07,0.12,1.323,1440182.06,1322391.01
601985.SH,20260508,9.06,9.18,9.04,9.07,9.06,0.01,0.1104,1152553.42,1048134.506
601985.SH,20260507,8.92,9.1,8.88,9.06,8.92,0.14,1.5695,1535023.19,1385636.49
601985.SH,20260506,8.99,8.99,8.85,8.92,8.99,-0.07,-0.7786,1418503.34,1263052.294
601985.SH,20260430,8.89,9.02,8.72,8.99,8.99,0.0,0.0,1762754.79,1571732.143
601985.SH,20260429,9.06,9.07,8.98,8.99,9.09,-0.1,-1.1001,1226532.65,1105132.609
601985.SH,20260428,9.02,9.09,8.96,9.09,9.02,0.07,0.7761,1455690.42,1317570.328
601985.SH,20260427,9.03,9.1,9.0,9.02,9.07,-0.05,-0.5513,1066219.77,964389.972
601985.SH,20260424,9.09,9.11,9.0,9.07,9.09,-0.02,-0.22,1374259.03,1246316.315
