ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
601888.SH,20260529,59.58,6.5576,14.0415,3.77,34.5201,30.9749,2.136,12379512.405,11632849.2912
601888.SH,20260528,54.76,1.8402,3.9404,1.08,31.7274,28.4691,1.9632,11378014.4225,10691756.0789
601888.SH,20260527,56.23,2.4635,5.275,1.68,32.5791,29.2333,2.0159,11683450.5292,10978769.9839
601888.SH,20260526,56.53,1.8093,3.8742,1.29,32.7529,29.3893,2.0267,11745784.4285,11037344.2502
601888.SH,20260525,56.8,1.2798,2.7404,0.89,32.9094,29.5297,2.0364,11801884.9379,11090061.0899
601888.SH,20260522,56.65,1.3152,2.8161,0.82,32.8225,29.4517,2.031,11770717.9883,11060773.9568
601888.SH,20260521,57.1,1.671,3.578,0.96,33.0832,29.6856,2.0471,11864218.8372,11148635.3562
601888.SH,20260520,57.81,1.2689,2.7171,0.7,33.4946,30.0547,2.0726,12011742.399,11287261.1199
601888.SH,20260519,58.36,1.4886,3.1875,0.8,33.8132,30.3407,2.0923,12126021.2144,11394647.2748
601888.SH,20260518,58.11,1.458,3.122,0.75,33.6684,30.2107,2.0833,12074076.2983,11345835.3862
601888.SH,20260515,59.0,2.1274,4.5553,1.23,34.184,30.6734,2.1152,12259000.1996,11519605.7096
601888.SH,20260514,60.8,2.3582,5.0496,1.51,35.2269,31.6092,2.1798,12633003.5955,11871051.3075
601888.SH,20260513,61.38,1.6,3.4259,0.91,35.563,31.9107,2.2006,12753515.8009,11984294.8891
601888.SH,20260512,61.55,1.7655,3.7803,1.01,35.6615,31.9991,2.2067,12788838.3438,12017486.9733
601888.SH,20260511,62.69,1.8229,3.9032,1.11,36.322,32.5918,2.2475,13025707.1612,12240069.1853
601888.SH,20260508,62.68,1.1358,2.432,0.7,36.3162,32.5866,2.2472,13023629.3646,12238116.7098
601888.SH,20260507,63.05,1.4999,3.2118,1.01,36.5306,32.779,2.2604,13100507.8404,12310358.3049
601888.SH,20260506,63.03,2.5311,5.4198,2.16,36.519,32.7686,2.2597,13096352.2471,12306453.3538
601888.SH,20260430,65.62,1.7369,3.7192,1.67,38.0196,34.1151,2.3526,13634501.5779,12812144.5197
601888.SH,20260429,65.95,1.2863,2.7543,1.32,38.2108,38.2108,2.4704,13703068.8672,12876576.2127
601888.SH,20260428,64.56,1.0089,2.1604,1.04,37.4054,37.4054,2.4183,13414255.1337,12605182.1121
601888.SH,20260427,65.62,0.8774,1.8788,0.8,38.0196,38.0196,2.458,13634501.5779,12812144.5197
601888.SH,20260424,65.42,0.9565,2.0481,0.74,37.9037,37.9037,2.4505,13592945.645,12773095.0088
601888.SH,20260423,66.28,1.0705,2.2922,0.84,38.402,38.402,2.4828,13771636.1564,12941007.9056
601888.SH,20260422,66.63,0.9504,2.035,0.74,38.6048,38.6048,2.4959,13844359.039,13009344.5497
601888.SH,20260421,67.27,0.9873,2.114,0.73,38.9756,38.9756,2.5198,13977338.0242,13134302.9845
601888.SH,20260420,67.69,1.4991,3.2099,1.23,39.2189,39.2189,2.5356,14064605.4832,13216306.9573
601888.SH,20260417,66.79,1.9826,4.2454,1.89,38.6975,38.6975,2.5019,13877603.7853,13040584.1584
601888.SH,20260416,68.49,0.9358,2.0038,0.86,39.6824,39.6824,2.5655,14230829.2148,13372505.0009
601888.SH,20260415,68.38,1.0365,2.2193,0.88,39.6187,39.6187,2.5614,14207973.4517,13351027.7699
601888.SH,20260414,69.08,1.3485,2.8875,1.27,40.0243,40.0243,2.5876,14353419.2168,13487701.058
601888.SH,20260413,68.9,0.8082,1.7305,0.78,39.92,39.92,2.5809,14316018.8772,13452556.4982
601888.SH,20260410,69.04,1.1081,2.3728,1.12,40.0011,40.0011,2.5861,14345108.0302,13479891.1558
601888.SH,20260409,67.89,1.13,2.4197,1.18,39.3348,39.3348,2.5431,14106161.4161,13255356.4682
601888.SH,20260408,69.99,1.4896,3.1895,1.71,40.5515,40.5515,2.6217,14542498.7114,13665376.3325
601888.SH,20260407,67.98,0.7759,1.6615,0.91,39.387,39.387,2.5464,14124861.5859,13272928.7481
