ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
688256.SH,20260430,20260331,2.4,2.38,6.8409,6.8409,26.7788,0.4174,2.3749,78916474.77,934297107.17,1567266596.14,6.0275,4.085,3.2066,3.0529,0.2216,7.4942,0.2001,909936183.02,1014522702.01,,760144982.7769,760144982.7769,2301047908.72,205086380.17,16459201.44,-1362692205.91,12670140620.88,11638017479.17,5464228166.67,12894762067.94,1177462278.87,2.4028,30.5235,1.9777,2.7923,1.0671,2.4059,1.8026,1.8026,35.1207,54.3304,45.6696,13.1374,35.1207,0.4384,12.4789,0.22,-8.5393,68.4564,35.1595,35.1691,8.2017,8.2,7.5629,7.0359,7.0262,8.1876,32.8068,28.1436,16.3795,1.1959,1.1672,90.598,9.402,82.2689,0.1276,99.8181,91.7659,8.2341,0.3603,0.1959,5.1024,782.0131,5.0227,769.7907,,0.3306,352.4081,28.1048,7.0268,551218437.58,35.1594,0.4384,68.4564,8.2017,7.5629,7.0262,28.9101,182.3529,180.0,158.9988,185.4184,185.4159,185.0387,238.56,159.5964,29.0711,8.7457,14.6095,8.7455,159.5555,159.5555,159.5555,122.5732,120.8386
688256.SH,20260430,20260331,2.4,2.38,6.8409,6.8409,26.7788,0.4174,2.3749,78916474.77,934297107.17,1567266596.14,6.0275,4.085,3.2066,3.0529,0.2216,7.4942,0.2001,909936183.02,1014522702.01,,760144982.7769,760144982.7769,2301047908.72,205086380.17,16459201.44,-1362692205.91,12670140620.88,11638017479.17,5464228166.67,12894762067.94,1177462278.87,2.4028,30.5235,1.9777,2.7923,1.0671,2.4059,1.8026,1.8026,35.1207,54.3304,45.6696,13.1374,35.1207,0.4384,12.4789,0.22,-8.5393,68.4564,35.1595,35.1691,8.2017,8.2,7.5629,7.0359,7.0262,8.1876,32.8068,28.1436,16.3795,1.1959,1.1672,90.598,9.402,,0.1276,99.8181,91.7659,8.2341,0.3603,0.1959,5.1024,782.0131,5.0227,769.7907,,0.3306,352.4081,28.1048,7.0268,551218437.58,35.1594,0.4384,68.4564,8.2017,7.5629,7.0262,28.9101,182.3529,180.0,158.9988,185.4184,185.4159,185.0387,238.56,159.5964,29.0711,8.7457,14.6095,8.7455,159.5555,159.5555,,,120.8386
688256.SH,20260313,20251231,4.93,4.88,15.4077,15.4077,26.7268,0.4174,-0.0279,289294380.99,1769934157.68,3583313004.19,9.0628,5.3541,4.7003,13.3243,0.7267,21.5094,0.6447,1740355062.36,2048312855.43,2333496610.75,-1053291625.9157,-1153291625.9157,1318745925.06,259002117.18,16712288.2,-1300646688.64,11618459548.95,10747475507.74,5183188918.44,11859966023.67,164248696.93,4.8833,28.0687,-1.1819,0.3895,-2.4729,4.8574,-2.4978,-2.735,31.6827,55.1517,44.8483,25.0552,31.6827,1.047,23.8395,0.1687,-2.1788,73.2138,31.7274,31.5261,23.8629,26.96,20.5105,20.3251,20.426,23.5272,23.8629,20.3251,11.8656,1.1346,1.1678,89.8995,10.1005,86.4616,0.1409,99.7994,83.6,16.4,-0.3739,0.1346,7.4233,708.2318,7.2868,695.2046,,-0.3126,443.5885,20.426,20.4334,536202114.91,31.6965,1.3416,80.5193,3.9277,3.0331,3.4918,-24.8227,552.2936,547.7064,69.5057,552.3119,551.8476,555.2403,304.6281,69.1959,308.5651,116.0843,100.0311,118.2725,453.205,453.205,91.0486,-19.6663,118.2725
688256.SH,20251018,20250930,3.85,3.81,11.0133,11.0133,33.4127,,-7.3353,185757766.81,1418887977.3,2547577811.67,12.4831,8.4459,7.6064,10.5712,0.5317,17.9599,0.4772,1372214308.32,1594435467.58,,-566620623.26,-566620623.26,810912506.44,345230209.53,117651919.33,-5060047589.03,11117025315.01,10606473645.07,4277458949.5,11436010637.88,-3068706465.28,3.8357,27.0375,-0.07,-7.3353,7.6281,3.8112,-1.3544,-1.3544,34.8142,55.2929,44.7071,22.5617,34.8142,0.9261,21.2823,0.3532,-1.8869,70.2173,34.8503,34.6058,19.1785,25.21,16.9583,16.5141,16.6136,18.7793,25.5713,22.0188,10.1158,1.1125,1.1539,91.566,8.434,88.2853,1.0288,98.9081,72.5127,27.4873,-0.0317,0.1125,8.8799,96.1408,8.7275,94.4908,,-0.023,388.7861,22.1515,16.6199,433114754.59,34.8105,0.8428,70.9132,6.272,5.6051,5.391,-54.4629,321.2644,318.9655,98.3853,320.5898,320.2319,321.4857,264.5177,98.3807,200.6134,108.1457,87.4443,108.5904,2386.3793,2386.3793,1332.523,-16.9598,120.1354
688256.SH,20251018,20250930,3.85,3.81,11.0133,11.0133,33.4127,,-7.3353,185757766.81,1418887977.3,2547577811.67,12.4831,8.4459,7.6064,10.5712,0.5317,17.9599,0.4772,1372214308.32,1594435467.58,,-566620623.26,-566620623.26,810912506.44,345230209.53,117651919.33,-5060047589.03,11117025315.01,10606473645.07,4277458949.5,11436010637.88,-3068706465.28,3.8357,27.0375,-0.07,-7.3353,7.6281,3.8112,-1.3544,-1.3544,34.8142,55.2929,44.7071,22.5617,34.8142,0.9261,21.2823,0.3532,-1.8869,70.2173,34.8503,34.6058,19.1785,25.21,16.9583,16.5141,16.6136,18.7793,25.5713,22.0188,10.1158,1.1125,1.1539,91.566,8.434,,1.0288,98.9081,72.5127,27.4873,-0.0317,0.1125,8.8799,96.1408,8.7275,94.4908,,-0.023,388.7861,22.1515,16.6199,433114754.59,34.8105,0.8428,70.9132,6.272,5.6051,5.391,-54.4629,321.2644,318.9655,98.3853,320.5898,320.2319,321.4857,264.5177,98.3807,200.6134,108.1457,87.4443,108.5904,2386.3793,2386.3793,,,120.1354
688256.SH,20250827,20250630,2.5,2.48,6.8857,6.8857,23.8372,,-8.6895,125515721.5,912566847.07,1611010057.23,5.8219,3.676,2.8919,12.9305,0.4398,11.1589,0.3806,869949253.82,1029982104.92,1176081034.08,563623013.0582,563623013.0582,1140947822.31,395266536.33,121111489.18,-1832374054.92,6584185433.93,6044709780.91,2690773445.01,6883903099.62,-3635269640.82,2.4814,16.1477,2.178,-8.6895,-0.0789,2.462,1.3473,1.3473,36.0217,55.9254,44.0746,23.4699,36.0217,0.9761,22.2135,0.2804,-1.0184,69.8002,36.0493,35.7553,17.0484,17.31,14.9871,13.608,13.7093,16.5727,34.0968,27.216,19.6829,1.2451,1.243,86.6771,13.3229,78.1959,1.7593,98.1332,75.64,24.36,0.7268,0.2451,4.0761,55.7783,3.9728,54.3647,,0.5498,333.1261,27.4186,13.715,436007757.45,36.0251,0.7758,66.3677,10.8492,10.1179,8.8828,130.593,296.8504,295.2756,243.7434,294.9183,294.6324,295.8242,249.8752,244.3474,251.4472,24.3116,25.3402,24.5772,4347.8163,4347.8163,4425.0104,92.2307,29.3019
688256.SH,20250827,20250630,2.5,2.48,6.8857,6.8857,23.8372,,-8.6895,125515721.5,912566847.07,1611010057.23,5.8219,3.676,2.8919,12.9305,0.4398,11.1589,0.3806,869949253.82,1029982104.92,1176081034.08,563623013.0582,563623013.0582,1140947822.31,395266536.33,121111489.18,-1832374054.92,6584185433.93,6044709780.91,2690773445.01,6883903099.62,-3635269640.82,2.4814,16.1477,2.178,-8.6895,-0.0789,2.462,1.3473,1.3473,36.0217,55.9254,44.0746,23.4699,36.0217,0.9761,22.2135,0.2804,-1.0184,69.8002,36.0493,35.7553,17.0484,17.31,14.9871,13.608,13.7093,16.5727,34.0968,27.216,19.6829,1.2451,1.243,86.6771,13.3229,,1.7593,98.1332,75.64,24.36,0.7268,0.2451,4.0761,55.7783,3.9728,54.3647,,0.5498,333.1261,27.4186,13.715,436007757.45,36.0251,0.7758,66.3677,10.8492,10.1179,8.8828,130.593,296.8504,295.2756,243.7434,294.9183,294.6324,295.8242,249.8752,244.3474,251.4472,24.3116,25.3402,24.5772,4347.8163,4347.8163,,,29.3019
688256.SH,20250419,20250331,0.85,0.85,2.6623,2.6623,23.6171,,-10.3433,79502437.09,275962803.95,622269065.99,8.373,4.4948,2.814,1.9987,0.1892,4.4537,0.1627,274911505.54,351583388.93,,-1628323386.0785,-1628323386.0785,601918899.16,395159484.13,111933325.08,-540489894.4,5644904161.86,5237994587.8,4173265876.34,5947897805.23,-4317886968.35,0.8515,13.9616,-3.3521,-10.3433,-3.1957,0.8422,-3.9006,-3.9006,31.9622,55.9897,44.0103,30.6118,31.9622,1.2949,28.4008,0.9161,-0.1356,75.2644,31.9736,31.6343,6.3188,6.32,4.9056,5.1466,5.1999,6.1162,25.2752,20.5864,15.9685,1.19,1.2144,85.6508,14.3492,81.2804,1.8819,97.9906,64.0598,35.9402,-1.9697,0.19,5.2555,52.0701,5.09,50.431,,-1.2618,465.3936,20.7996,5.2034,418246305.7,31.9738,1.2949,75.2644,6.3188,4.9056,5.1999,-125.9097,257.4074,257.4074,-496.4591,255.547,255.1751,256.8156,205.6769,-497.7308,247.2256,7.4821,3.3815,7.482,4230.2203,4230.2203,4230.2203,30.5647,6.5138
688256.SH,20250419,20250331,0.85,0.85,2.6623,2.6623,23.6171,,-10.3433,79502437.09,275962803.95,622269065.99,8.373,4.4948,2.814,1.9987,0.1892,4.4537,0.1627,274911505.54,351583388.93,,-1628323386.0785,-1628323386.0785,601918899.16,395159484.13,111933325.08,-540489894.4,5644904161.86,5237994587.8,4173265876.34,5947897805.23,-4317886968.35,0.8515,13.9616,-3.3521,-10.3433,-3.1957,0.8422,-3.9006,-3.9006,31.9622,55.9897,44.0103,30.6118,31.9622,1.2949,28.4008,0.9161,-0.1356,75.2644,31.9736,31.6343,6.3188,6.32,4.9056,5.1466,5.1999,6.1162,25.2752,20.5864,15.9685,1.19,1.2144,85.6508,14.3492,,1.8819,97.9906,64.0598,35.9402,-1.9697,0.19,5.2555,52.0701,5.09,50.431,,-1.2618,465.3936,20.7996,5.2034,418246305.7,31.9738,1.2949,75.2644,6.3188,4.9056,5.1999,-125.9097,257.4074,257.4074,-496.4591,255.547,255.1751,256.8156,205.6769,-497.7308,247.2256,7.4821,3.3815,7.482,4230.2203,4230.2203,,,6.5138
688256.SH,20250419,20241231,-1.09,-1.09,2.8134,2.8134,23.4967,,-11.1948,412612685.13,-864951476.14,666054667.75,7.0897,4.9214,3.7646,2.4764,0.2052,6.2939,0.1788,-699744837.84,-483958662.67,-274612308.15,-1718419601.37,-1618419601.37,705592752.69,467430201.41,114309983.95,-1872182282.33,5224830761.3,4982180640.06,2348046798.19,5544789555.6,-4673352209.39,-1.0836,12.9897,-3.8758,-11.1948,-4.7472,-1.1593,-4.1164,-3.8769,-38.9051,56.7114,43.2886,123.2168,-38.9051,5.9649,118.8968,-1.6449,-4.5057,159.5799,-38.8045,-41.2068,-8.1705,-8.18,-15.6234,-7.3685,-6.9569,-8.5763,-8.1705,-7.3685,19.163,1.2371,1.1863,86.3423,13.6577,77.7758,2.0616,97.7974,63.5528,36.4472,-1.9776,0.2371,4.2123,47.4382,4.0586,45.7076,,-1.2568,829.7829,-6.9569,-6.8871,381652707.34,-38.8065,2.9553,82.6846,5.154,-0.0473,4.2389,19.3853,47.343,47.343,-171.1298,47.9628,47.8966,46.6858,17.0599,-171.6818,44.4523,-4.2199,4.6708,-4.021,65.5606,65.5606,75.5146,239.4661,-4.021
