index_code,con_code,trade_date,weight
000016.SH,600519.SH,20260529,9.221
000016.SH,601318.SH,20260529,6.334
000016.SH,601899.SH,20260529,5.568
000016.SH,600036.SH,20260529,5.225
000016.SH,688256.SH,20260529,4.571
000016.SH,600900.SH,20260529,3.771
000016.SH,601166.SH,20260529,3.479
000016.SH,688008.SH,20260529,3.218
000016.SH,688981.SH,20260529,3.107
000016.SH,688041.SH,20260529,3.035
000016.SH,600030.SH,20260529,2.824
000016.SH,603259.SH,20260529,2.791
000016.SH,601398.SH,20260529,2.594
000016.SH,600276.SH,20260529,2.489
000016.SH,688012.SH,20260529,2.159
000016.SH,601288.SH,20260529,2.017
000016.SH,601328.SH,20260529,1.973
000016.SH,601211.SH,20260529,1.93
000016.SH,600887.SH,20260529,1.891
000016.SH,600150.SH,20260529,1.875
000016.SH,601088.SH,20260529,1.861
000016.SH,603993.SH,20260529,1.795
000016.SH,601816.SH,20260529,1.637
000016.SH,600309.SH,20260529,1.532
000016.SH,603019.SH,20260529,1.434
000016.SH,601857.SH,20260529,1.368
000016.SH,600111.SH,20260529,1.366
000016.SH,601601.SH,20260529,1.223
000016.SH,600031.SH,20260529,1.182
000016.SH,600406.SH,20260529,1.111
000016.SH,601225.SH,20260529,1.109
000016.SH,601668.SH,20260529,1.108
000016.SH,601728.SH,20260529,1.043
000016.SH,601919.SH,20260529,0.99
000016.SH,601012.SH,20260529,0.935
000016.SH,601988.SH,20260529,0.932
000016.SH,603501.SH,20260529,0.893
000016.SH,600690.SH,20260529,0.87
000016.SH,601985.SH,20260529,0.826
000016.SH,600028.SH,20260529,0.785
000016.SH,600050.SH,20260529,0.755
000016.SH,601127.SH,20260529,0.739
000016.SH,600809.SH,20260529,0.695
000016.SH,601888.SH,20260529,0.646
000016.SH,600104.SH,20260529,0.629
000016.SH,601628.SH,20260529,0.626
000016.SH,688111.SH,20260529,0.613
000016.SH,601658.SH,20260529,0.61
000016.SH,600760.SH,20260529,0.406
000016.SH,600930.SH,20260529,0.209
000016.SH,600519.SH,20260430,9.422
000016.SH,601318.SH,20260430,6.877
000016.SH,601899.SH,20260430,5.96
000016.SH,600036.SH,20260430,5.147
000016.SH,688256.SH,20260430,3.895
000016.SH,600900.SH,20260430,3.632
000016.SH,601166.SH,20260430,3.299
000016.SH,688041.SH,20260430,2.993
000016.SH,603259.SH,20260430,2.944
000016.SH,600030.SH,20260430,2.887
000016.SH,601398.SH,20260430,2.619
000016.SH,600276.SH,20260430,2.614
000016.SH,688981.SH,20260430,2.58
000016.SH,601288.SH,20260430,2.161
000016.SH,688008.SH,20260430,2.157
000016.SH,600150.SH,20260430,2.049
000016.SH,601211.SH,20260430,1.979
000016.SH,601328.SH,20260430,1.971
000016.SH,600887.SH,20260430,1.887
000016.SH,601088.SH,20260430,1.863
000016.SH,600309.SH,20260430,1.828
000016.SH,688012.SH,20260430,1.792
000016.SH,603993.SH,20260430,1.766
000016.SH,601816.SH,20260430,1.563
000016.SH,601857.SH,20260430,1.505
000016.SH,603019.SH,20260430,1.478
000016.SH,600111.SH,20260430,1.459
000016.SH,601601.SH,20260430,1.385
000016.SH,600031.SH,20260430,1.312
000016.SH,600406.SH,20260430,1.133
000016.SH,601668.SH,20260430,1.102
000016.SH,601225.SH,20260430,1.101
000016.SH,601012.SH,20260430,1.084
000016.SH,601728.SH,20260430,1.017
000016.SH,601919.SH,20260430,0.967
000016.SH,603501.SH,20260430,0.904
000016.SH,601988.SH,20260430,0.894
000016.SH,600690.SH,20260430,0.878
000016.SH,600028.SH,20260430,0.853
000016.SH,601985.SH,20260430,0.804
000016.SH,601127.SH,20260430,0.788
000016.SH,600050.SH,20260430,0.768
000016.SH,600809.SH,20260430,0.76
000016.SH,601888.SH,20260430,0.696
000016.SH,600104.SH,20260430,0.689
000016.SH,601628.SH,20260430,0.664
000016.SH,688111.SH,20260430,0.634
000016.SH,601658.SH,20260430,0.607
000016.SH,600760.SH,20260430,0.434
000016.SH,600930.SH,20260430,0.196
000016.SH,600519.SH,20260331,10.422
000016.SH,601318.SH,20260331,6.948
000016.SH,601899.SH,20260331,6.187
000016.SH,600036.SH,20260331,5.587
000016.SH,600900.SH,20260331,3.798
000016.SH,601166.SH,20260331,3.658
000016.SH,601398.SH,20260331,2.838
000016.SH,600276.SH,20260331,2.831
000016.SH,603259.SH,20260331,2.785
000016.SH,600030.SH,20260331,2.694
000016.SH,688256.SH,20260331,2.379
000016.SH,688041.SH,20260331,2.244
000016.SH,601288.SH,20260331,2.21
000016.SH,688981.SH,20260331,2.159
000016.SH,601211.SH,20260331,2.152
000016.SH,601328.SH,20260331,2.144
000016.SH,601088.SH,20260331,1.916
000016.SH,600887.SH,20260331,1.913
000016.SH,603993.SH,20260331,1.719
000016.SH,600309.SH,20260331,1.713
000016.SH,601816.SH,20260331,1.705
000016.SH,688008.SH,20260331,1.647
000016.SH,600150.SH,20260331,1.599
000016.SH,601857.SH,20260331,1.586
000016.SH,688012.SH,20260331,1.542
000016.SH,601601.SH,20260331,1.457
000016.SH,600111.SH,20260331,1.385
000016.SH,603019.SH,20260331,1.32
000016.SH,600031.SH,20260331,1.309
000016.SH,601012.SH,20260331,1.221
000016.SH,600406.SH,20260331,1.198
000016.SH,601668.SH,20260331,1.188
000016.SH,601225.SH,20260331,1.139
000016.SH,601919.SH,20260331,1.086
000016.SH,601728.SH,20260331,1.011
000016.SH,600028.SH,20260331,0.984
000016.SH,601988.SH,20260331,0.965
000016.SH,603501.SH,20260331,0.923
000016.SH,600690.SH,20260331,0.921
000016.SH,601985.SH,20260331,0.855
000016.SH,601127.SH,20260331,0.852
000016.SH,600809.SH,20260331,0.801
000016.SH,600050.SH,20260331,0.799
000016.SH,601888.SH,20260331,0.789
000016.SH,600104.SH,20260331,0.77
000016.SH,601628.SH,20260331,0.695
000016.SH,601658.SH,20260331,0.649
000016.SH,688111.SH,20260331,0.621
000016.SH,600760.SH,20260331,0.479
000016.SH,600930.SH,20260331,0.211
000016.SH,600519.SH,20260227,9.739
000016.SH,601318.SH,20260227,7.19
000016.SH,601899.SH,20260227,6.964
000016.SH,600036.SH,20260227,5.127
000016.SH,600900.SH,20260227,3.406
000016.SH,601166.SH,20260227,3.314
000016.SH,600030.SH,20260227,2.856
